Disc,TrackStart,TrackEnd,Work,Composer,Conductor,Orchestra,Year,Movements
30,1,3,"Daphnis et Chloé, Suite no. 1",Maurice Ravel,Eugene Ormandy,The Philadelphia Orchestra,1950,3
30,4,6,"Daphnis et Chloé, Suite no. 2",Maurice Ravel,Eugene Ormandy,The Philadelphia Orchestra,1949,3
30,7,7,"Verklärte Nacht, op. 4 (1943 version for string orchestra): Grave - Molto rallentando - Pesante - Adagio - Adagio",Arnold Schönberg,Eugene Ormandy,The Philadelphia Orchestra,1950,1
31,1,1,"Prélude à l'après-midi d'un faune, L 86: Très modéré",Claude Debussy,Eugene Ormandy,The Philadelphia Orchestra,1947,1
31,2,2,Fantasia,Paul Dukas,Eugene Ormandy,The Philadelphia Orchestra,,1
31,3,3,Concertino for Piano and Orchestra: Allegro molto moderato - Larghetto sostenuto - Allegro,Arthur Honegger,Fritz Reiner,Columbia Symphony Orchestra,1949,1
31,4,4,"Finlandia, op. 26: Andante sostenuto - Allegro moderato - Allegro",Jean Sibelius,Eugene Ormandy,The Philadelphia Orchestra,1950,1
31,5,5,"Lemminkäis-sarja (Neljä legendaa), op. 22",Jean Sibelius,Eugene Ormandy,The Philadelphia Orchestra,1950,1
31,6,6,"Prélude in C-sharp minor, op. 3/2: Lento",Сергей Васильевич Рахманинов,Eugene Ormandy,The Philadelphia Orchestra,1950,1
31,7,7,"Prélude in G major, op. 32/5: Moderato",Сергей Васильевич Рахманинов,Eugene Ormandy,The Philadelphia Orchestra,1950,1
31,8,8,"Prélude in G minor, op. 23/5: Alla marcia",Сергей Васильевич Рахманинов,Eugene Ormandy,The Philadelphia Orchestra,1950,1
32,1,3,"Symphony no. 6 in E-flat minor, op. 111",Сергей Сергеевич Прокофьев,Eugene Ormandy,The Philadelphia Orchestra,1950,3
33,1,9,Die Fledermaus,Johann Strauss,Eugene Ormandy,Metropolitan Opera Orchestra,1950,9
34,1,3,Die Fledermaus,Johann Strauss,Eugene Ormandy,Metropolitan Opera Orchestra,1950,3
34,4,4,"Die Fledermaus: Act II. Ballet: Roses from the South, op. 388",Johann Strauss,Eugene Ormandy,Metropolitan Opera Orchestra,1950,1
34,5,5,Die Fledermaus,Johann Strauss,Eugene Ormandy,Metropolitan Opera Orchestra,1950,1
34,6,6,Die Fledermaus: Akt III,Johann Strauss,Eugene Ormandy,Metropolitan Opera Orchestra,1950,1
34,7,10,Die Fledermaus,Johann Strauss,Eugene Ormandy,Metropolitan Opera Orchestra,1950,4
35,1,3,"Concerto for Violin and Orchestra in D major, op. 61",Ludwig van Beethoven,Eugene Ormandy,The Philadelphia Orchestra,1950,3
35,4,4,"Poème, op. 25: Lento e misterioso - Molto animato - Animato - Poco lento - Poco meno lento - Allegro - Tempo I - Tranquillo",Ernest Chausson,Eugene Ormandy,The Philadelphia Orchestra,1950,1
36,1,3,"Concerto for Piano and Orchestra no. 5 in E-flat major, op. 73 “Emperor”",Ludwig van Beethoven,Eugene Ormandy,The Philadelphia Orchestra,1950,3
36,4,6,"Concerto for Piano no. 20 in D minor, K. 466",Wolfgang Amadeus Mozart,Eugene Ormandy,The Philadelphia Orchestra,1951,3
37,1,4,"Symphony no. 5 in E minor, op. 64",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1950,4
38,1,4,Symphony no. 3,William Schuman,Eugene Ormandy,The Philadelphia Orchestra,1951,4
38,5,7,"Images pour orchestre, L. 122, CD 118: II. Ibéria",Claude Debussy,Eugene Ormandy,The Philadelphia Orchestra,1951,3
39,1,4,"Symphony no. 2 in E minor, op. 27",Сергей Васильевич Рахманинов,Eugene Ormandy,The Philadelphia Orchestra,1951,4
40,1,5,"Symphonie fantastique, op. 14 : Épisode de la vie d’un artiste … en cinq parties",Hector Berlioz,Eugene Ormandy,The Philadelphia Orchestra,1950,5
41,1,4,"Sinfonie Nr. 1 c-Moll, op. 68",Johannes Brahms,Eugene Ormandy,The Philadelphia Orchestra,1950,4
42,1,4,"Symphony no. 6 in B minor, op. 74 “Pathétique”",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1952,4
43,1,1,Eine Nacht in Venedig,Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1951,1
43,2,2,"Accelerationen, op. 234 (Waltz)",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1951,1
43,3,3,"Feuerfest!, op. 269 (Polka française)",Josef Strauss,Eugene Ormandy,The Philadelphia Orchestra,1951,1
